Pid,ST,TAT,RWT,IWT
20,3,2212,497,2187
307,32,2185,511,2236
284,30,2187,502,2208
4,0,2221,511,2186
176,19,2205,512,2185
279,30,2195,516,2231
365,37,2194,515,2261
246,27,2207,503,2195
335,33,2202,502,2250
343,34,2201,505,2242
374,38,2198,511,2250
275,29,2209,507,2171
299,32,2210,505,2205
293,31,2213,505,2197
276,30,2218,497,2189
292,30,2219,493,2210
0,0,2253,496,2207
315,32,2224,499,2211
273,29,2228,501,2191
320,33,2230,504,2233
363,36,2231,504,2238
362,36,2232,502,2225
398,39,2231,515,2258
396,39,2232,485,2246
382,38,2233,500,2230
412,40,2237,490,2252
466,47,2234,491,2314
380,38,2244,497,2242
431,42,2241,498,2284
393,39,2245,507,2232
319,33,2255,491,2205
459,46,2246,498,2310
75,8,2291,522,2324
125,13,2286,524,2351
58,6,2294,493,2310
46,5,2297,510,2302
51,6,2299,499,2308
446,46,2263,486,2282
44,4,2317,507,2284
473,48,2276,497,2267
472,48,2279,487,2283
136,14,2313,531,2304
110,11,2316,507,2326
108,11,2320,519,2312
152,16,2317,533,2318
73,8,2325,511,2295
185,20,2314,509,2336
129,13,2322,526,2311
105,11,2326,518,2295
187,20,2317,510,2334
161,17,2321,517,2331
95,9,2331,532,2285
146,14,2326,532,2311
14,3,2339,517,2306
153,16,2330,527,2337
76,8,2338,514,2275
139,14,2336,532,2297
133,14,2339,530,2285
205,23,2332,501,2313
149,16,2343,510,2288
198,22,2341,512,2291
223,25,2341,517,2300
249,27,2340,507,2296
2,0,2369,518,2345
242,27,2343,505,2309
323,33,2340,522,2338
291,30,2344,513,2311
182,20,2355,513,2284
304,32,2343,515,2325
230,25,2351,488,2284
258,29,2347,510,2327
232,25,2351,523,2310
203,23,2356,529,2309
340,34,2347,510,2350
248,27,2356,518,2329
376,38,2349,510,2381
290,30,2358,504,2320
295,31,2357,501,2311
385,39,2352,513,2337
332,33,2362,520,2349
452,46,2351,514,2363
369,37,2360,500,2361
441,44,2353,490,2378
347,34,2363,511,2350
336,34,2365,517,2334
308,32,2369,513,2325
429,41,2362,504,2382
349,34,2369,512,2321
439,44,2359,489,2346
325,33,2371,490,2340
453,46,2361,509,2402
403,40,2370,513,2361
407,40,2371,512,2353
33,4,2408,504,2365
32,4,2409,526,2368
399,39,2377,498,2341
419,41,2378,485,2366
457,46,2375,503,2373
450,46,2377,498,2381
103,10,2414,519,2408
413,41,2383,508,2339
443,44,2388,488,2343
60,6,2427,524,2388
66,7,2426,522,2407
482,49,2388,501,2343
489,49,2391,498,2390
118,12,2428,518,2391
80,9,2432,521,2373
150,16,2427,514,2405
168,17,2426,539,2413
88,9,2436,518,2407
486,49,2397,496,2364
476,49,2400,496,2371
192,21,2429,525,2376
241,27,2424,510,2404
145,14,2437,518,2436
204,23,2430,524,2432
92,9,2444,519,2398
82,9,2446,511,2390
83,9,2446,532,2382
471,48,2408,492,2339
330,33,2425,522,2404
269,29,2429,509,2415
126,13,2446,527,2404
346,34,2426,503,2439
190,21,2439,520,2415
267,29,2433,506,2395
301,32,2432,518,2436
217,23,2445,511,2364
214,23,2446,519,2333
30,3,2466,507,2384
354,35,2434,514,2422
303,32,2437,502,2377
327,33,2437,524,2414
277,30,2442,509,2417
122,12,2462,523,2375
207,23,2451,501,2395
329,33,2442,515,2400
344,34,2443,525,2420
356,36,2449,507,2421
484,49,2436,523,2449
28,3,2483,513,2415
468,47,2440,488,2442
430,41,2447,503,2446
433,42,2446,490,2503
321,33,2456,502,2380
465,47,2445,489,2468
438,44,2449,504,2409
164,17,2476,521,2465
357,36,2458,512,2396
410,40,2454,505,2426
359,36,2460,496,2404
455,46,2451,486,2430
84,9,2488,528,2417
485,49,2449,504,2425
70,7,2497,533,2401
56,6,2500,522,2425
351,34,2473,516,2397
89,9,2499,513,2471
74,8,2500,522,2382
143,14,2495,528,2450
490,50,2460,498,2429
296,31,2479,498,2364
159,16,2496,527,2424
62,6,2507,520,2430
222,24,2490,496,2435
281,30,2487,509,2442
294,31,2486,516,2468
475,49,2468,506,2427
183,20,2497,510,2413
228,25,2493,499,2402
495,50,2469,496,2437
128,13,2506,511,2424
435,43,2477,490,2407
130,13,2507,516,2440
167,17,2505,511,2415
99,10,2512,530,2432
231,25,2497,523,2439
469,47,2475,500,2453
491,50,2472,494,2365
135,14,2509,534,2429
197,22,2501,517,2411
101,10,2515,512,2425
212,23,2502,510,2355
282,30,2496,493,2417
483,49,2478,514,2436
225,25,2502,512,2424
224,25,2503,529,2425
179,19,2510,518,2429
389,39,2491,508,2437
460,46,2485,506,2488
420,41,2490,498,2421
498,51,2481,515,2391
342,34,2498,502,2404
364,37,2495,517,2416
434,43,2490,494,2426
215,23,2510,499,2377
278,30,2504,504,2385
387,39,2495,520,2423
306,32,2503,507,2437
366,37,2498,508,2437
268,29,2506,511,2430
196,22,2513,519,2415
175,18,2521,512,2380
367,37,2503,502,2405
499,51,2491,502,2421
496,50,2493,504,2405
326,33,2511,515,2422
331,33,2513,523,2393
479,49,2498,503,2463
449,46,2503,496,2457
397,39,2510,501,2389
481,49,2501,502,2444
